Date;WeekDay
01/01/20;Wednesday
02/01/20;Thursday
03/01/20;Friday
04/01/20;Saturday
05/01/20;Sunday
06/01/20;Monday
07/01/20;Tuesday
08/01/20;Wednesday
09/01/20;Thursday
10/01/20;Friday
11/01/20;Saturday
12/01/20;Sunday
13/01/20;Monday
14/01/20;Tuesday
15/01/20;Wednesday
16/01/20;Thursday
17/01/20;Friday
18/01/20;Saturday
19/01/20;Sunday
20/01/20;Monday
21/01/20;Tuesday
22/01/20;Wednesday
23/01/20;Thursday
24/01/20;Friday
25/01/20;Saturday
26/01/20;Sunday
27/01/20;Monday
28/01/20;Tuesday
29/01/20;Wednesday
30/01/20;Thursday
31/01/20;Monday
01/02/20;Tuesday
02/02/20;Wednesday
03/02/20;Thursday
04/02/20;Friday
05/02/20;Saturday
06/02/20;Sunday
07/02/20;Monday
08/02/20;Tuesday
09/02/20;Wednesday
10/02/20;Thursday
11/02/20;Friday
12/02/20;Saturday
13/02/20;Sunday
14/02/20;Monday
15/02/20;Tuesday
16/02/20;Wednesday
17/02/20;Thursday
18/02/20;Friday
19/02/20;Saturday
20/02/20;Sunday
21/02/20;Monday
22/02/20;Tuesday
23/02/20;Wednesday
24/02/20;Thursday
25/02/20;Monday
26/02/20;Tuesday
27/02/20;Wednesday
28/02/20;Thursday
29/02/20;Friday
01/03/20;Saturday
02/03/20;Sunday
03/03/20;Monday
04/03/20;Tuesday
05/03/20;Wednesday
06/03/20;Thursday
07/03/20;Friday
08/03/20;Saturday
09/03/20;Sunday
10/03/20;Monday
11/03/20;Tuesday
12/03/20;Wednesday
13/03/20;Thursday
14/03/20;Friday
15/03/20;Saturday
16/03/20;Sunday
17/03/20;Monday
18/03/20;Tuesday
19/03/20;Wednesday
20/03/20;Thursday
21/03/20;Monday
22/03/20;Tuesday
23/03/20;Wednesday
24/03/20;Thursday
25/03/20;Friday
26/03/20;Saturday
27/03/20;Sunday
28/03/20;Monday
29/03/20;Tuesday
30/03/20;Wednesday
31/03/20;Thursday
01/04/20;Friday
02/04/20;Saturday
03/04/20;Sunday
04/04/20;Monday
05/04/20;Tuesday
06/04/20;Wednesday
07/04/20;Thursday
08/04/20;Friday
09/04/20;Saturday
10/04/20;Sunday
11/04/20;Monday
12/04/20;Tuesday
13/04/20;Wednesday
14/04/20;Thursday
15/04/20;Monday
16/04/20;Tuesday
17/04/20;Wednesday
18/04/20;Thursday
19/04/20;Friday
20/04/20;Saturday
21/04/20;Sunday
22/04/20;Monday
23/04/20;Tuesday
24/04/20;Wednesday
25/04/20;Thursday
26/04/20;Friday
27/04/20;Saturday
28/04/20;Sunday
29/04/20;Monday
30/04/20;Tuesday
01/05/20;Wednesday
02/05/20;Thursday
03/05/20;Friday
04/05/20;Saturday
05/05/20;Sunday
06/05/20;Monday
07/05/20;Tuesday
08/05/20;Wednesday
09/05/20;Thursday
10/05/20;Monday
11/05/20;Tuesday
12/05/20;Wednesday
13/05/20;Thursday
14/05/20;Friday
15/05/20;Saturday
16/05/20;Sunday
17/05/20;Monday
18/05/20;Tuesday
19/05/20;Wednesday
20/05/20;Thursday
21/05/20;Friday
22/05/20;Saturday
23/05/20;Sunday
24/05/20;Monday
25/05/20;Tuesday
26/05/20;Wednesday
27/05/20;Thursday
28/05/20;Friday
29/05/20;Saturday
30/05/20;Sunday
31/05/20;Monday
01/06/20;Tuesday
02/06/20;Wednesday
03/06/20;Thursday
04/06/20;Monday
05/06/20;Tuesday
06/06/20;Wednesday
07/06/20;Thursday
08/06/20;Friday
09/06/20;Saturday
10/06/20;Sunday
11/06/20;Monday
12/06/20;Tuesday
13/06/20;Wednesday
14/06/20;Thursday
15/06/20;Friday
16/06/20;Saturday
17/06/20;Sunday
18/06/20;Monday
19/06/20;Tuesday
20/06/20;Wednesday
21/06/20;Thursday
22/06/20;Friday
23/06/20;Saturday
24/06/20;Sunday
25/06/20;Monday
26/06/20;Tuesday
27/06/20;Wednesday
28/06/20;Thursday
29/06/20;Monday
30/06/20;Tuesday
01/07/20;Wednesday
02/07/20;Thursday
03/07/20;Friday
04/07/20;Saturday
05/07/20;Sunday
06/07/20;Monday
07/07/20;Tuesday
08/07/20;Wednesday
09/07/20;Thursday
10/07/20;Friday
11/07/20;Saturday
12/07/20;Sunday
13/07/20;Monday
14/07/20;Tuesday
15/07/20;Wednesday
16/07/20;Thursday
17/07/20;Friday
18/07/20;Saturday
19/07/20;Sunday
20/07/20;Monday
21/07/20;Tuesday
22/07/20;Wednesday
23/07/20;Thursday
24/07/20;Monday
25/07/20;Tuesday
26/07/20;Wednesday
27/07/20;Thursday
28/07/20;Friday
29/07/20;Saturday
30/07/20;Sunday
31/07/20;Monday
01/08/20;Tuesday
02/08/20;Wednesday
03/08/20;Thursday
04/08/20;Friday
05/08/20;Saturday
06/08/20;Sunday
07/08/20;Monday
08/08/20;Tuesday
09/08/20;Wednesday
10/08/20;Thursday
11/08/20;Friday
12/08/20;Saturday
13/08/20;Sunday
14/08/20;Monday
15/08/20;Tuesday
16/08/20;Wednesday
17/08/20;Thursday
18/08/20;Monday
19/08/20;Tuesday
20/08/20;Wednesday
21/08/20;Thursday
22/08/20;Friday
23/08/20;Saturday
24/08/20;Sunday
25/08/20;Monday
26/08/20;Tuesday
27/08/20;Wednesday
28/08/20;Thursday
29/08/20;Friday
30/08/20;Saturday
31/08/20;Sunday
01/09/20;Monday
02/09/20;Tuesday
03/09/20;Wednesday
04/09/20;Thursday
05/09/20;Friday
06/09/20;Saturday
07/09/20;Sunday
08/09/20;Monday
09/09/20;Tuesday
10/09/20;Wednesday
11/09/20;Thursday
12/09/20;Monday
13/09/20;Tuesday
14/09/20;Wednesday
15/09/20;Thursday
16/09/20;Friday
17/09/20;Saturday
18/09/20;Sunday
19/09/20;Monday
20/09/20;Tuesday
21/09/20;Wednesday
22/09/20;Thursday
23/09/20;Friday
24/09/20;Saturday
25/09/20;Sunday
26/09/20;Monday
27/09/20;Tuesday
28/09/20;Wednesday
29/09/20;Thursday
30/09/20;Friday
01/10/20;Saturday
02/10/20;Sunday
03/10/20;Monday
04/10/20;Tuesday
05/10/20;Wednesday
06/10/20;Thursday
07/10/20;Monday
08/10/20;Tuesday
09/10/20;Wednesday
10/10/20;Thursday
11/10/20;Friday
12/10/20;Saturday
13/10/20;Sunday
14/10/20;Monday
15/10/20;Tuesday
16/10/20;Wednesday
17/10/20;Thursday
18/10/20;Friday
19/10/20;Saturday
20/10/20;Sunday
21/10/20;Monday
22/10/20;Tuesday
23/10/20;Wednesday
24/10/20;Thursday
25/10/20;Friday
26/10/20;Saturday
27/10/20;Sunday
28/10/20;Monday
29/10/20;Tuesday
30/10/20;Wednesday
31/10/20;Thursday
01/11/20;Monday
02/11/20;Tuesday
03/11/20;Wednesday
04/11/20;Thursday
05/11/20;Friday
06/11/20;Saturday
07/11/20;Sunday
08/11/20;Monday
09/11/20;Tuesday
10/11/20;Wednesday
11/11/20;Monday
12/11/20;Tuesday
13/11/20;Wednesday
14/11/20;Thursday
15/11/20;Friday
16/11/20;Saturday
17/11/20;Sunday
18/11/20;Monday
19/11/20;Tuesday
20/11/20;Wednesday
21/11/20;Thursday
22/11/20;Friday
23/11/20;Saturday
24/11/20;Sunday
25/11/20;Monday
26/11/20;Tuesday
27/11/20;Monday
28/11/20;Tuesday
29/11/20;Wednesday
30/11/20;Thursday
01/12/20;Friday
02/12/20;Saturday
03/12/20;Sunday
04/12/20;Monday
05/12/20;Tuesday
06/12/20;Wednesday
07/12/20;Thursday
08/12/20;Friday
09/12/20;Saturday
10/12/20;Sunday
11/12/20;Monday
12/12/20;Tuesday
13/12/20;Wednesday
14/12/20;Thursday
15/12/20;Friday
16/12/20;Saturday
17/12/20;Sunday
18/12/20;Monday
19/12/20;Tuesday
20/12/20;Wednesday
21/12/20;Thursday
22/12/20;Monday
23/12/20;Tuesday
24/12/20;Wednesday
25/12/20;Thursday
26/12/20;Friday
27/12/20;Saturday
28/12/20;Monday
29/12/20;Tuesday
30/12/20;Wednesday
31/12/20;Thursday
