;Date;Channel;Duration;User
0;28/09/20;Sport;17;100012
1;06/09/20;Sport;75;100014
2;20/09/20;Sport;2;100016
3;24/08/20;Movies;15;100021
4;18/08/20;Fiction;5;100009
5;01/08/20;Movies;9;100028
6;24/02/20;Sport;10;100024
7;09/04/20;Sport;75;100033
8;19/11/20;Movies;7;100002
9;18/01/20;Fiction;5;100037
10;11/11/20;News;5;100048
11;01/08/20;Sport;1;100033
12;25/07/20;News;7;100025
13;28/07/20;Movies;1;100038
14;13/12/20;News;15;100045
15;15/02/20;Movies;8;100018
16;06/01/20;Sport;22;100048
17;09/01/20;Movies;3;100032
18;06/03/20;Sport;15;100022
19;31/08/20;Sport;95;100027
20;28/02/20;Movies;7;100005
21;09/12/20;Fiction;28;100029
22;12/09/20;Sport;49;100032
23;05/12/20;News;10;100023
24;23/11/20;Fiction;15;100013
25;08/09/20;News;5;100025
26;24/03/20;News;7;100033
27;07/12/20;Sport;27;100048
28;20/02/20;Fiction;5;100035
29;14/02/20;News;5;100001
30;08/01/20;Sport;13;100000
31;23/07/20;Movies;3;100025
32;14/01/20;Sport;19;100002
33;28/10/20;Movies;102;100010
34;14/07/20;News;3;100039
35;01/10/20;Fiction;23;100036
36;17/10/20;News;11;100003
37;13/02/20;Fiction;15;100007
38;10/09/20;News;0;100025
39;15/09/20;Movies;2;100004
40;11/04/20;Sport;30;100031
41;14/02/20;Movies;16;100003
42;09/03/20;Sport;85;100040
43;08/01/20;News;8;100030
44;04/07/20;Movies;43;100039
45;01/04/20;Movies;6;100000
46;12/04/20;Movies;0;100040
47;21/12/20;Sport;12;100014
48;03/10/20;Fiction;8;100010
49;14/11/20;News;18;100027
50;20/04/20;News;10;100011
51;03/10/20;News;0;100007
52;05/09/20;Fiction;3;100039
53;07/04/20;Sport;23;100021
54;30/12/20;Movies;3;100033
55;20/04/20;Sport;36;100047
56;12/05/20;Sport;40;100034
57;03/07/20;Sport;16;100014
58;13/05/20;Sport;15;100012
59;01/11/20;Sport;34;100030
60;14/02/20;News;18;100025
61;17/01/20;Fiction;2;100011
62;11/07/20;Fiction;4;100018
63;10/01/20;Fiction;20;100006
64;06/11/20;Sport;49;100025
65;05/04/20;News;2;100015
66;07/01/20;Sport;16;100044
67;10/07/20;Movies;8;100037
68;10/04/20;News;18;100036
69;17/07/20;News;3;100048
70;22/06/20;News;14;100025
71;01/12/20;Sport;7;100030
72;24/09/20;News;8;100007
73;09/09/20;Movies;11;100040
74;09/11/20;News;6;100027
75;25/09/20;Sport;125;100040
76;06/10/20;Fiction;11;100029
77;19/04/20;Sport;18;100049
78;17/10/20;News;13;100048
79;30/03/20;News;6;100020
80;06/01/20;Movies;86;100013
81;29/11/20;Movies;3;100005
82;16/07/20;Sport;6;100041
83;23/09/20;Movies;10;100031
84;14/06/20;Fiction;0;100017
85;30/12/20;Fiction;30;100031
86;22/02/20;Fiction;10;100025
87;16/01/20;News;15;100043
88;28/10/20;Movies;112;100016
89;19/09/20;Movies;2;100023
90;09/06/20;Fiction;3;100000
91;25/06/20;Fiction;12;100013
92;13/10/20;Movies;36;100030
93;16/08/20;Movies;9;100027
94;12/04/20;News;15;100041
95;20/03/20;Fiction;23;100048
96;28/08/20;News;12;100043
97;22/04/20;Sport;23;100028
98;25/02/20;Fiction;29;100011
99;02/08/20;News;9;100022
100;23/04/20;Sport;19;100021
101;08/11/20;Fiction;20;100045
102;18/11/20;Sport;50;100018
103;25/10/20;Sport;20;100008
104;28/07/20;Fiction;3;100011
105;05/02/20;News;7;100008
106;01/01/20;Movies;0;100009
107;14/04/20;Movies;5;100031
108;05/12/20;News;12;100002
109;12/12/20;Sport;9;100028
110;21/10/20;News;11;100016
111;28/07/20;Sport;18;100001
112;05/02/20;Movies;44;100014
113;18/08/20;Movies;40;100015
114;11/06/20;News;9;100006
115;23/09/20;News;15;100034
116;02/01/20;Movies;10;100028
117;18/11/20;News;4;100036
118;12/12/20;Sport;21;100045
119;25/10/20;Fiction;16;100027
120;25/10/20;Movies;15;100022
121;11/07/20;Fiction;24;100000
122;28/05/20;Sport;21;100031
123;05/07/20;News;15;100000
124;13/10/20;Movies;12;100011
125;14/05/20;Movies;10;100042
126;19/08/20;Sport;4;100038
127;18/05/20;Sport;18;100029
128;21/07/20;Sport;4;100027
129;16/06/20;Sport;24;100034
130;25/04/20;Fiction;9;100034
131;04/08/20;Movies;2;100017
132;26/06/20;Fiction;12;100045
133;18/06/20;Fiction;5;100010
134;11/10/20;Movies;10;100013
135;24/01/20;News;7;100022
136;16/04/20;Sport;21;100004
137;05/05/20;Movies;5;100049
138;16/01/20;Movies;3;100038
139;18/05/20;News;11;100009
140;04/08/20;News;10;100013
141;22/11/20;News;9;100013
142;25/05/20;Fiction;11;100023
143;29/06/20;Sport;20;100046
144;16/07/20;News;15;100016
145;09/09/20;News;2;100022
146;10/06/20;Sport;40;100048
147;19/09/20;News;11;100040
148;05/11/20;Movies;0;100013
149;07/12/20;Movies;6;100009
150;18/10/20;News;16;100019
151;23/09/20;Fiction;12;100040
152;12/01/20;Fiction;5;100002
153;18/06/20;Sport;23;100026
154;01/12/20;News;4;100001
155;01/08/20;Movies;3;100008
156;13/07/20;Sport;9;100032
157;28/11/20;Movies;9;100025
158;02/03/20;Sport;137;100009
159;09/02/20;Movies;7;100025
160;22/10/20;Movies;10;100039
161;03/01/20;Fiction;24;100013
162;06/07/20;Sport;25;100013
163;05/04/20;Fiction;23;100048
164;17/03/20;News;1;100013
165;04/06/20;Sport;55;100004
166;14/08/20;Movies;14;100040
167;06/05/20;News;8;100000
168;19/01/20;Sport;117;100015
169;23/06/20;News;3;100002
170;06/09/20;Movies;38;100041
171;18/10/20;News;14;100040
172;19/04/20;Fiction;18;100016
173;13/01/20;Fiction;16;100049
174;02/03/20;Sport;47;100004
175;23/12/20;Movies;8;100049
176;22/11/20;Movies;13;100046
177;06/10/20;Movies;7;100035
178;28/09/20;News;13;100000
179;07/05/20;Movies;2;100008
180;19/01/20;Sport;70;100017
181;04/03/20;News;3;100048
182;29/07/20;News;9;100031
183;28/02/20;Sport;19;100002
184;29/01/20;Fiction;29;100016
185;08/03/20;Fiction;13;100028
186;02/10/20;News;0;100016
187;15/12/20;Movies;2;100006
188;11/05/20;Sport;8;100001
189;21/11/20;News;12;100021
190;28/05/20;Fiction;11;100027
191;16/06/20;Fiction;20;100026
192;05/01/20;Sport;32;100047
193;12/07/20;News;15;100032
194;30/04/20;Sport;18;100017
195;05/09/20;News;3;100003
196;22/02/20;Sport;19;100038
197;04/02/20;News;17;100021
198;10/10/20;Sport;20;100023
199;29/07/20;News;9;100002
200;23/07/20;Fiction;11;100046
201;15/08/20;Movies;11;100027
202;06/05/20;Fiction;23;100015
203;17/01/20;News;10;100048
204;09/07/20;Fiction;14;100041
205;22/01/20;Sport;44;100011
206;13/07/20;Movies;90;100045
207;18/11/20;News;11;100027
208;07/09/20;Movies;2;100048
209;20/11/20;Fiction;24;100019
210;08/06/20;Fiction;17;100027
